,treeid,trayid,camp,species,circumference,diameter,baseheight,trayheight,height,fogdate,latitude,longitude,utm_x,utm_y,GPS_alt,DEM30_alt,DEM10_alt,climband
TC_T4-15,4,T4-15,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
TC_T4-16,4,T4-16,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
TC_T4-17,4,T4-17,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
TC_T4-18,4,T4-18,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
TC_T4-19,4,T4-19,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
TC_T4-2,4,T4-2,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
TC_T4-20,4,T4-20,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
TC_T4-21,4,T4-21,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
TC_T4-22,4,T4-22,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
TC_T4-23,4,T4-23,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832,2000
